ID,Name,Image Link,Price,Year,Mileage,Transmission,Fuel Type,Drive Type,Link
28452,Used 2023 Nissan Murano Automatic,https://carbooth.ca/wp-content/uploads/2023/09/124307144-335x186.jpeg,"$29,988",2023,"126,901 KM",Automatic,Gasoline,AWD/4WD,https://carbooth.ca/listing/used-2023-nissan-murano-automatic/
28444,Used 2023 Nissan LEAF Automatic,https://carbooth.ca/wp-content/uploads/2023/09/121894195-335x186.jpeg,"$25,995",2023,"64,200 KM",Automatic,Electric,Front Wheel Drive,https://carbooth.ca/listing/used-2023-nissan-leaf-automatic/
28437,Used 2023 Land Rover Range Rover Evoque Automatic,https://carbooth.ca/wp-content/uploads/2023/09/110488236-335x186.jpeg,"$41,888",2023,"61,961 KM",Automatic,Gasoline,AWD/4WD,https://carbooth.ca/listing/used-2023-land-rover-range-rover-evoque-automatic/
28429,Used 2023 Ford Escape Automatic,https://carbooth.ca/wp-content/uploads/2023/09/121593702-335x186.jpeg,"$24,995",2023,"99,220 KM",Automatic,Gasoline,Front Wheel Drive,https://carbooth.ca/listing/used-2023-ford-escape-automatic-2/
28422,Used 2023 Ford Escape Automatic,https://carbooth.ca/wp-content/uploads/2023/09/120661127-335x186.jpeg,"$26,495",2023,"73,352 KM",Automatic,Gasoline,AWD/4WD,https://carbooth.ca/listing/used-2023-ford-escape-automatic-3/
28415,Used 2023 Nissan Rogue Automatic,https://carbooth.ca/wp-content/uploads/2023/09/112694947-335x186.jpeg,"$29,888",2023,"70,112 KM",Automatic,Gasoline,AWD/4WD,https://carbooth.ca/listing/used-2023-nissan-rogue-automatic-3/
28481,Used 2023 Nissan Sentra Automatic,https://carbooth.ca/wp-content/uploads/2023/09/123336247-335x186.jpeg,"$19,988",2023,"141,313 KM",Automatic,Gasoline,Front Wheel Drive,https://carbooth.ca/listing/used-2023-nissan-sentra-automatic-2/
28473,Used 2023 Nissan Rogue Automatic,https://carbooth.ca/wp-content/uploads/2023/09/124295127-1-335x186.jpeg,"$23,988",2023,"121,186 KM",Automatic,Gasoline,AWD/4WD,https://carbooth.ca/listing/used-2023-nissan-rogue-automatic/
28468,Used 2023 Nissan Rogue Automatic,https://carbooth.ca/wp-content/uploads/2023/09/124259381-1-335x186.jpeg,"$23,988",2023,"132,937 KM",Automatic,Gasoline,AWD/4WD,https://carbooth.ca/listing/used-2023-nissan-rogue-automatic-2/
28460,Used 2023 Nissan Automatic,https://carbooth.ca/wp-content/uploads/2023/09/124259381-335x186.jpeg,"$20,988",2023,"155,212 KM",Automatic,Gasoline,AWD/4WD,https://carbooth.ca/listing/used-2023-nissan-automatic/
